paragraph_index,text,assigned_narrator,confidence,probabilities
0,"Miranda Silver is in Dover, in the ground beneath her mother’s house.",5,1.0,"[0.0, 0.0, 4.712309015603796e-44, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
1,Her throat is blocked with a slice of apple (to stop her speaking words that may betray her) her ear...,2,0.9896916221458912,"[0.0, 0.0, 0.9896916221458912, 0.0, 0.0, 0.010308377854108246, 0.0, 0.0, 0.0]"
2,Does she remember me at all I miss her I miss the way her eyes are the same shade of grey no matter ...,4,1.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.6973353225044617e-18, 0.0, 0.0]"
3,She chose this as the only way to fight the soucouyant.,5,1.0,"[0.0, 0.0, 1.8434088988118824e-36, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
4,Miri is gone.,0,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,Just gone. We’d had an argument. It was dark outside. Gusts of wind tangled in the apple trees aroun...,6,0.9999999988330721,"[0.0, 0.0, 0.0, 0.0, 1.1669273461874555e-09, 0.0, 0.9999999988330721, 0.0, 0.0]"
6,(My sister turned seventeen in a mental health clinic; I brought our birthday cake to her there.) Mi...,4,1.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
7,I went up to my room. Miri didn’t call after me. I don’t think she came upstairs again. Or she may h...,6,0.9999996949649365,"[0.0, 0.0, 0.0, 0.0, 3.050350639399245e-07, 0.0, 0.9999996949649365, 0.0, 0.0]"
8,"That last time I saw Miri, she wasn’t wearing any shoes. Five months ago I took that as security tha...",6,0.9999999925266749,"[0.0, 0.0, 0.0, 0.0, 7.473325428158364e-09, 0.0, 0.9999999925266749, 0.0, 0.0]"
9,A part of me knows that we can’t find her because something has happened to her.,6,1.0,"[0.0, 0.0, 0.0, 0.0, 1.3648631149253096e-22, 0.0, 1.0, 0.0, 0.0]"
10,"Miranda is at home (homesick, home sick) Miranda can’t come in today Miranda has a condition called ...",4,0.9999926856828647,"[0.0, 0.0, 0.0, 0.0, 0.9999926856828647, 0.0, 7.314317135339888e-06, 0.0, 0.0]"
11,I know she’s not there.,6,1.0,"[0.0, 0.0, 0.0, 0.0, 2.5506839271542554e-47, 0.0, 1.0, 0.0, 0.0]"
12,"But I wrote, Miri I’m lonely.",6,0.9999999999999112,"[8.899557974258607e-14, 0.0, 0.0, 0.0, 2.307758711080519e-36, 0.0, 0.9999999999999112, 0.0, 0.0]"
13,I dropped the words onto the paper so hard that they’re doubled by the thin perforations around them...,6,1.0,"[0.0, 0.0, 0.0, 0.0, 2.0386364174236244e-30, 0.0, 1.0, 0.0, 0.0]"
14,"I wouldn’t have bothered trying to tell her, I wouldn’t have written to her if What I mean is, each ...",6,0.9999999997259987,"[0.0, 0.0, 0.0, 0.0, 2.740017964459546e-10, 0.0, 0.9999999997259987, 0.0, 0.0]"
15,Miri I conjure you.,6,0.9999955436289889,"[4.456371011245219e-06, 0.0, 0.0, 0.0, 2.044579066427582e-38, 0.0, 0.9999955436289889, 0.0, 0.0]"
16,She has wronged me I will not allow her to live Miranda lay beside me on the grass that circled the ...,6,0.9999999999967297,"[0.0, 0.0, 0.0, 0.0, 3.2710334894777146e-12, 0.0, 0.9999999999967297, 0.0, 0.0]"
17,"When I looked at her, she smiled brightly. Incongruous smiles were a sort of nervous thing with Mira...",6,0.9999999999997708,"[0.0, 0.0, 0.0, 0.0, 2.2828334811904953e-13, 0.0, 0.9999999999997708, 0.0, 0.0]"
18,I spent Lily’s second night in Haiti on Miri’s bedroom floor. Miri switched off the light and folded...,6,0.9999999999997478,"[0.0, 0.0, 0.0, 0.0, 2.5223848130718166e-13, 0.0, 0.9999999999997478, 0.0, 0.0]"
19,"I leaned my back against her desk, wrapped blankets around my shoulders and tried to read with a fla...",6,1.0,"[0.0, 0.0, 0.0, 0.0, 8.399838695081148e-34, 0.0, 1.0, 0.0, 0.0]"
20,"I didn’t answer. I tried to picture our mother in Haiti and I saw her in a tower built of guns, heav...",6,1.0,"[0.0, 0.0, 0.0, 0.0, 5.506265590307735e-20, 0.0, 1.0, 0.0, 0.0]"
21,"Lily was the changer who came home the same. But that last time the signs were bad. When she left, s...",4,1.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
22,Shrill singing between my ears.,0,0.9999999999999609,"[0.9999999999999609, 0.0, 0.0, 0.0, 6.802834663941787e-104, 0.0, 3.9390296332025446e-14, 0.0, 0.0]"
23,"She slid up out of the covers, gasping, her face mottled pink and white as if she had come from a pl...",5,1.0,"[0.0, 0.0, 4.317442623491968e-18, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
24,"She was about to cry. There was a change in the shadows and I twisted around, looking into the corne...",6,0.9999999999998774,"[0.0, 0.0, 0.0, 0.0, 1.2282787150418216e-13, 0.0, 0.9999999999998774, 0.0, 0.0]"
