from,to,position,confidence_before,confidence_after
1,4,2,1.0,1.0
4,1,3,1.0,1.0
1,0,4,1.0,1.0
0,4,5,1.0,0.9999999999077627
4,3,6,0.9999999999077627,0.9999493208085348
3,4,7,0.9999493208085348,0.9999999999426947
4,3,21,1.0,0.9999196861364469
3,4,22,0.9999196861364469,1.0
4,1,23,1.0,1.0
1,4,24,1.0,0.999999999999984
4,1,27,0.999999999998483,1.0
1,2,29,1.0,1.0
2,1,30,1.0,1.0
1,0,31,1.0,1.0
0,1,32,1.0,1.0
1,4,36,1.0,0.9999999998194049
4,2,37,0.9999999998194049,1.0
2,1,41,1.0,1.0
1,3,42,1.0,0.99999999999697
3,2,43,0.99999999999697,1.0
2,3,45,0.9999854411638677,0.9999422791589287
3,4,46,0.9999422791589287,0.999999999999849
4,2,47,0.999999999999849,1.0
2,3,48,1.0,1.0
3,4,49,1.0,0.9999999999774509
4,0,51,0.9999999997268532,1.0
0,4,53,1.0,1.0
4,0,54,1.0,0.9999992479905732
0,4,55,0.9999992479905732,1.0
4,1,56,1.0,1.0
1,4,65,1.0,0.9999999999984954
4,0,66,0.9999999999984954,1.0
0,1,67,1.0,1.0
1,0,72,1.0,1.0
0,1,73,1.0,1.0
1,4,89,1.0,0.9999999999458016
4,0,90,0.9999999999458016,1.0
0,1,91,1.0,1.0
1,0,93,1.0,1.0
0,4,94,1.0,1.0
4,0,96,1.0,0.9999865809191013
0,4,97,0.9999865809191013,0.9999999999999414
4,1,103,0.9999999996374438,1.0
1,3,117,1.0,1.0
3,1,118,1.0,1.0
1,0,126,1.0,1.0
0,1,128,1.0,1.0
1,0,129,1.0,1.0
0,1,130,1.0,1.0
1,4,137,1.0,0.999999999999968
4,1,138,0.999999999999968,1.0
1,0,140,0.9999999999998614,1.0
0,1,141,1.0,1.0
1,2,143,1.0,1.0
2,4,144,1.0,1.0
4,1,145,1.0,1.0
1,4,148,1.0,0.9999999999998987
4,3,150,0.9999999999947704,0.9999526099334896
3,2,151,0.9999526099334896,1.0
2,4,152,1.0,0.999999999275893
4,2,153,0.999999999275893,1.0
2,3,154,1.0,1.0
3,4,155,1.0,0.9999999999830482
4,2,156,0.9999999999830482,1.0
