paragraph_index,text,assigned_narrator,confidence,probabilities
0,"Miranda Silver is in Dover, in the ground beneath her mother’s house.",1,0.9999999970789986,"[1.2333194566119034e-23, 0.9999999970789986, 2.921001345666966e-09, 5.390552012562123e-108, 1.2805590533829555e-24]"
1,Her throat is blocked with a slice of apple,1,0.9999999999999993,"[2.5701378430448615e-38, 0.9999999999999993, 6.42108851321384e-16, 4.0163710679023165e-113, 7.498335732731662e-34]"
2,(to stop her speaking words that may betray her),1,0.9999999580475194,"[1.8126983313098873e-40, 0.9999999580475194, 4.1952477748222915e-08, 2.7636923326296114e-131, 2.9293491765087907e-15]"
3,her ears are filled with earth,1,1.0,"[4.2056370283561507e-50, 1.0, 5.802253424890039e-20, 1.2615008006889453e-153, 4.9118267369934275e-36]"
4,(to keep her from hearing sounds that will confuse her),1,0.9999999602799566,"[1.417339467764119e-36, 0.9999999602799566, 3.972003458456856e-08, 3.228443792358262e-111, 8.611123302712822e-15]"
5,"her eyes are closed, but",1,0.9999999999567395,"[1.1764728097451054e-38, 0.9999999999567395, 4.3260632051528755e-11, 1.283128969966086e-128, 3.5006990850723315e-18]"
6,her heart thrums hard like hummingbird wings.,1,1.0,"[1.2001011079908669e-48, 1.0, 2.9253280620056627e-18, 5.8883621557001435e-301, 3.177556508416309e-22]"
7,Does she remember me at all I miss her I miss the way her eyes are the same shade of grey no matter ...,4,0.999999999660762,"[2.518784259366718e-104, 3.392383460938954e-10, 1.3028837136584008e-52, 0.0, 0.999999999660762]"
8,She chose this as the only way to fight the soucouyant.,1,0.9999999998249272,"[4.0552134529227635e-32, 0.9999999998249272, 1.7507274989804763e-10, 1.943825615917427e-96, 1.5941762218424864e-20]"
9,Just gone. We’d had an argument. It was dark outside. Gusts of wind tangled in the apple trees aroun...,1,0.9985291557515715,"[1.0763683805053e-09, 0.9985291557515715, 0.0014702098907651083, 4.9916634971149275e-17, 6.332812946373041e-07]"
10,“Why did you use the winter apples?” She asked it over and over. Nothing I replied could break her m...,2,0.9999999999939301,"[2.0395875610003798e-150, 0.0, 0.9999999999939301, 7.483991134440355e-87, 6.069941133687048e-12]"
11,She said: “You’ve done too much now. I can’t trust you anymore.”,1,0.9999911956124189,"[7.9523509124269e-36, 0.9999911956124189, 8.804387581302108e-06, 7.924178383867645e-119, 1.99214601595919e-17]"
12,"She shook her head and dropped to the disappointed hiss of a primary-school teacher, or a kid trying...",0,1.0,"[1.0, 0.0, 0.0, 4.022104996409962e-55, 0.0]"
