from,to,position,confidence_before,confidence_after
2,1,2,0.9999998962833612,1.0
1,2,3,1.0,0.9999999119878108
2,1,14,0.9999999554301012,0.999999999749555
1,2,15,0.999999999749555,0.9999999998646096
2,3,17,0.9999991470105428,1.0
3,0,18,1.0,1.0
0,2,19,1.0,0.9999999703454461
2,0,40,0.999999981418018,0.9999974657409705
0,2,41,0.9999974657409705,0.9999502702662109
2,1,50,0.9999999979566336,1.0
1,2,51,1.0,0.9999999356710617
2,1,70,0.9999999433011622,1.0
1,2,71,1.0,0.9999999999909424
2,1,77,0.9999976915618339,1.0
1,2,78,1.0,0.9999999999987934
2,1,81,0.999998436758389,0.9999998358217513
1,2,82,0.9999998358217513,0.9999683047755978
2,1,89,0.999999668196855,0.9999999386891077
1,2,91,1.0,0.9994930653047007
2,1,93,0.9994579453488402,1.0
1,2,95,0.9999999999807887,0.9999706288804434
2,1,97,0.9999996820554856,1.0
1,2,98,1.0,0.9999957038946158
2,1,99,0.9999957038946158,0.9783600131766739
1,2,100,0.9783600131766739,0.9999999262384085
2,3,121,0.9999999998153619,1.0
3,2,122,1.0,0.9999970026150196
2,0,127,0.9999999609378606,1.0
0,2,128,1.0,0.9999999999959712
2,0,131,0.999999507569346,1.0
0,2,132,1.0,0.9999999999485247
2,0,144,0.9999999995217017,1.0
0,2,145,1.0,0.9999999989957935
2,1,146,0.9999999989957935,1.0
1,2,147,1.0,0.9999999996715765
2,0,152,0.9999999980974223,1.0
0,2,153,1.0,0.9999999995791278
2,0,155,0.9999802516660519,1.0
0,2,156,1.0,0.9999882613606991
2,0,162,0.9999999999183657,1.0
0,2,163,1.0,0.9999999999839577
2,1,166,0.9999999892673729,0.9999985268369478
1,2,167,0.9999985268369478,0.9999385660112986
2,0,170,0.9999999999922835,1.0
0,2,171,1.0,0.999999983538956
2,0,178,0.9997724806641134,1.0
0,2,180,1.0,0.9997810588378899
2,1,196,0.9999999984431618,0.9720545228133666
1,0,197,0.9720545228133666,1.0
0,1,198,1.0,0.9999999999999374
1,2,199,0.9999999999999374,0.999999991082726
2,1,204,0.9999726710236219,1.0
1,2,205,1.0,0.9999998470154142
2,0,206,0.9999998470154142,1.0
0,2,207,1.0,0.999999999510262
2,0,211,0.9999550417183682,1.0
0,2,212,1.0,0.9999998903749538
2,0,226,0.9999427454893536,1.0
0,2,228,1.0,0.9999635783370063
2,0,238,0.9999998814246104,1.0
0,2,239,1.0,0.9999999998502886
2,0,241,0.9999987883377757,0.9999999995073274
0,2,242,0.9999999995073274,0.9999998276549362
2,0,244,0.999999999570921,1.0
0,2,245,1.0,0.9999999497161779
2,0,249,0.9999984405842897,1.0
0,2,250,1.0,0.9999978135511747
2,0,260,0.999999999771104,1.0
0,2,262,1.0,0.9999999999944942
2,0,266,0.9999995835720844,1.0
0,2,267,1.0,0.9999950618034568
2,0,270,0.9999827419428435,1.0
0,2,271,1.0,0.999999999561604
2,0,280,0.9999999999741842,1.0
0,2,281,1.0,0.9999999999983427
2,0,284,0.9999999851006117,1.0
0,2,285,1.0,0.999931727422674
2,0,309,0.9999014311824344,1.0
0,2,310,1.0,0.9999999960124875
2,0,312,0.9999999805773572,1.0
0,2,313,1.0,0.9999879260607538
2,1,319,0.9999999999328111,0.9999999999999512
1,2,320,0.9999999999999512,0.9999792762567057
2,1,336,0.9999999730192431,1.0
1,2,337,1.0,0.9999999243957476
2,0,341,0.9999999995540847,1.0
0,2,342,1.0,0.999998623514721
2,0,353,0.9999990781888414,1.0
0,2,354,1.0,0.9999972202211556
2,1,362,0.9999999424091345,1.0
1,2,363,1.0,0.9999999994307984
2,0,377,0.999981170648039,1.0
0,2,378,1.0,0.9999999958412431
2,0,379,0.9999999958412431,1.0
0,2,381,1.0,0.9999999326567299
2,1,384,0.9999999981802254,0.9999999975651388
1,0,387,0.9999510749706654,1.0
0,2,388,1.0,0.9999999991224016
2,1,405,0.9999999771607408,0.9999999541722061
1,2,406,0.9999999541722061,0.9999997985955965
2,1,408,0.9999995374656588,0.999999526116364
1,2,409,0.999999526116364,0.9999999078654056
2,1,416,0.9999854732627311,0.9999999999999698
1,2,418,0.9999999996449862,0.9999989449381511
2,0,425,0.9999999996861622,1.0
0,2,426,1.0,0.99999896302833
2,1,430,0.9999999992907043,0.9999930601451508
1,2,431,0.9999930601451508,0.9999263822009914
2,0,436,0.9999999998040341,1.0
0,2,437,1.0,0.9999997047970668
2,1,454,1.0,0.9999999999999352
1,2,457,0.9999999999999769,0.9999999983146743
2,1,462,0.9999998215691351,0.9999995645760869
1,2,463,0.9999995645760869,0.9999999998661693
2,0,468,0.999999895350472,1.0
0,2,469,1.0,0.9999968219395167
2,1,478,0.9999997902258186,0.9999994699759541
1,2,479,0.9999994699759541,0.9997514888182816
2,0,486,0.9999956667694101,1.0
0,2,488,1.0,0.9999999984978984
2,1,507,0.9999995485892217,1.0
1,2,508,1.0,0.9999999987900878
2,1,512,0.9999999999711431,1.0
1,2,513,1.0,0.9999999994359339
2,0,517,0.9999999990484696,1.0
0,2,518,1.0,0.999942968816164
2,0,521,0.9999999999356195,1.0
0,2,522,1.0,0.9999999984274304
2,0,536,0.9999985384962629,1.0
0,2,537,1.0,0.999999999974909
2,1,542,0.9999998202396994,1.0
1,2,543,1.0,0.9999998950464379
2,1,549,0.9803481233044319,0.9999996791846772
1,0,550,0.9999996791846772,1.0
0,2,551,1.0,0.9999997242610366
2,1,568,0.9999999369836721,0.9999999999991545
1,2,569,0.9999999999991545,0.9999999951813372
2,0,571,0.999721176204058,0.9719672817430587
0,2,573,1.0,0.9999999999850822
